epoch,learning_rate,correctness
1,0.1,0.0
11,0.1,0.3333333333333333
21,0.1,0.5428571428571428
31,0.1,0.6666666666666666
41,0.1,0.6666666666666666
51,0.1,0.6666666666666666
61,0.1,0.6666666666666666
71,0.1,0.6666666666666666
81,0.1,0.6666666666666666
91,0.1,0.6761904761904762
101,0.1,0.7142857142857143
1,0.2,0.3333333333333333
11,0.2,0.3333333333333333
21,0.2,0.6666666666666666
31,0.2,0.6666666666666666
41,0.2,0.6666666666666666
51,0.2,0.6666666666666666
61,0.2,0.6952380952380952
71,0.2,0.7428571428571429
81,0.2,0.8095238095238095
91,0.2,0.8380952380952381
101,0.2,0.8380952380952381
1,0.3,0.3333333333333333
11,0.3,0.3333333333333333
21,0.3,0.6666666666666666
31,0.3,0.6666666666666666
41,0.3,0.6666666666666666
51,0.3,0.6761904761904762
61,0.3,0.7333333333333333
71,0.3,0.7619047619047619
81,0.3,0.819047619047619
91,0.3,0.8380952380952381
101,0.3,0.8476190476190476
1,0.4,0.3333333333333333
11,0.4,0.3333333333333333
21,0.4,0.6666666666666666
31,0.4,0.6666666666666666
41,0.4,0.6666666666666666
51,0.4,0.6857142857142857
61,0.4,0.7238095238095238
71,0.4,0.7428571428571429
81,0.4,0.780952380952381
91,0.4,0.8285714285714286
101,0.4,0.8380952380952381
1,0.5,0.3333333333333333
11,0.5,0.3333333333333333
21,0.5,0.6666666666666666
31,0.5,0.6666666666666666
41,0.5,0.6761904761904762
51,0.5,0.6761904761904762
61,0.5,0.7047619047619048
71,0.5,0.7428571428571429
81,0.5,0.7619047619047619
91,0.5,0.7904761904761904
101,0.5,0.7904761904761904
1,0.6,0.3333333333333333
11,0.6,0.3333333333333333
21,0.6,0.6666666666666666
31,0.6,0.6666666666666666
41,0.6,0.6666666666666666
51,0.6,0.6761904761904762
61,0.6,0.6952380952380952
71,0.6,0.7333333333333333
81,0.6,0.7619047619047619
91,0.6,0.780952380952381
101,0.6,0.7904761904761904
1,0.7,0.3333333333333333
11,0.7,0.3333333333333333
21,0.7,0.6666666666666666
31,0.7,0.6666666666666666
41,0.7,0.6666666666666666
51,0.7,0.6857142857142857
61,0.7,0.6952380952380952
71,0.7,0.7333333333333333
81,0.7,0.7619047619047619
91,0.7,0.7714285714285715
101,0.7,0.780952380952381
1,0.8,0.3333333333333333
11,0.8,0.3333333333333333
21,0.8,0.6666666666666666
31,0.8,0.6666666666666666
41,0.8,0.6666666666666666
51,0.8,0.6857142857142857
61,0.8,0.6952380952380952
71,0.8,0.7142857142857143
81,0.8,0.7428571428571429
91,0.8,0.7714285714285715
101,0.8,0.7714285714285715
1,0.9,0.3333333333333333
11,0.9,0.4095238095238095
21,0.9,0.6666666666666666
31,0.9,0.6666666666666666
41,0.9,0.6666666666666666
51,0.9,0.6857142857142857
61,0.9,0.7047619047619048
71,0.9,0.7142857142857143
81,0.9,0.7428571428571429
91,0.9,0.7714285714285715
101,0.9,0.7619047619047619
1,1.0,0.3333333333333333
11,1.0,0.5523809523809524
21,1.0,0.6666666666666666
31,1.0,0.6666666666666666
41,1.0,0.6666666666666666
51,1.0,0.6857142857142857
61,1.0,0.6952380952380952
71,1.0,0.7238095238095238
81,1.0,0.7619047619047619
91,1.0,0.7904761904761904
101,1.0,0.8
1,1.1,0.3333333333333333
11,1.1,0.580952380952381
21,1.1,0.6666666666666666
31,1.1,0.6666666666666666
41,1.1,0.6761904761904762
51,1.1,0.6952380952380952
61,1.1,0.7238095238095238
71,1.1,0.7333333333333333
81,1.1,0.7523809523809524
91,1.1,0.7714285714285715
101,1.1,0.780952380952381
1,1.2,0.3333333333333333
11,1.2,0.6285714285714286
21,1.2,0.6666666666666666
31,1.2,0.6571428571428571
41,1.2,0.6761904761904762
51,1.2,0.6952380952380952
61,1.2,0.7142857142857143
71,1.2,0.7142857142857143
81,1.2,0.7333333333333333
91,1.2,0.7523809523809524
101,1.2,0.7619047619047619
1,1.3,0.3333333333333333
11,1.3,0.6476190476190476
21,1.3,0.6666666666666666
31,1.3,0.6571428571428571
41,1.3,0.6761904761904762
51,1.3,0.6857142857142857
61,1.3,0.7142857142857143
71,1.3,0.7142857142857143
81,1.3,0.7142857142857143
91,1.3,0.7238095238095238
101,1.3,0.7238095238095238
1,1.4,0.3333333333333333
11,1.4,0.6666666666666666
21,1.4,0.6666666666666666
31,1.4,0.6571428571428571
41,1.4,0.6666666666666666
51,1.4,0.6761904761904762
61,1.4,0.6952380952380952
71,1.4,0.7047619047619048
81,1.4,0.7047619047619048
91,1.4,0.7142857142857143
101,1.4,0.7047619047619048
1,1.5,0.3333333333333333
11,1.5,0.6666666666666666
21,1.5,0.6666666666666666
31,1.5,0.6666666666666666
41,1.5,0.6666666666666666
51,1.5,0.6761904761904762
61,1.5,0.6761904761904762
71,1.5,0.7047619047619048
81,1.5,0.7047619047619048
91,1.5,0.6952380952380952
101,1.5,0.7047619047619048
1,1.6,0.3333333333333333
11,1.6,0.6666666666666666
21,1.6,0.6666666666666666
31,1.6,0.6666666666666666
41,1.6,0.6666666666666666
51,1.6,0.6761904761904762
61,1.6,0.6761904761904762
71,1.6,0.7047619047619048
81,1.6,0.6952380952380952
91,1.6,0.7047619047619048
101,1.6,0.7238095238095238
1,1.7,0.3333333333333333
11,1.7,0.6666666666666666
21,1.7,0.6666666666666666
31,1.7,0.6666666666666666
41,1.7,0.6666666666666666
51,1.7,0.6761904761904762
61,1.7,0.6952380952380952
71,1.7,0.6952380952380952
81,1.7,0.7047619047619048
91,1.7,0.7142857142857143
101,1.7,0.7238095238095238
1,1.8,0.3333333333333333
11,1.8,0.6666666666666666
21,1.8,0.6666666666666666
31,1.8,0.6666666666666666
41,1.8,0.6666666666666666
51,1.8,0.6761904761904762
61,1.8,0.7047619047619048
71,1.8,0.6952380952380952
81,1.8,0.7047619047619048
91,1.8,0.7142857142857143
101,1.8,0.7238095238095238
1,1.9,0.3333333333333333
11,1.9,0.6666666666666666
21,1.9,0.6666666666666666
31,1.9,0.6666666666666666
41,1.9,0.6666666666666666
51,1.9,0.6857142857142857
61,1.9,0.7047619047619048
71,1.9,0.6952380952380952
81,1.9,0.6952380952380952
91,1.9,0.7047619047619048
101,1.9,0.7047619047619048
1,2.0,0.3333333333333333
11,2.0,0.6666666666666666
21,2.0,0.6666666666666666
31,2.0,0.6476190476190476
41,2.0,0.638095238095238
51,2.0,0.6666666666666666
61,2.0,0.6476190476190476
71,2.0,0.6666666666666666
81,2.0,0.6571428571428571
91,2.0,0.6761904761904762
101,2.0,0.7428571428571429
